Company,Headquarter,Sector,Investor,Amount,Stage,fundyear
FreshToHome,Bangalore,E-Commerce,Investment Corporation of Dubai (ICD),113042969.54307117,Series A,2020
KIKO TV,Mumbai,Video Streaming Platform,"9Point8 Capital, Sunil Kumar Singhvi",113042969.54307117,Seed,2020
Atomberg Technologies,Mumbai,Consumer Appliances,"Sandeep Tandon, Survam Partners",9000000.0,Series B,2020
DealShare,Jaipur,E-Commerce,"Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020
Smallcase,Bangalore,FinTech,"WEH Ventures, BEENEXT",113042969.54307117,Series A,2020
CueMath,Bangalore,EdTech,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020
Gamerji,Ahmedabad,Gaming Startup,La Gajjar Group.,113042969.54307117,Seed,2020
5C Network,Bangalore,Healthtech,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020
Ethereum Push Notification Service,Mumbai,Blockchain Startup,Prolific angel investors,750000.0,Seed,2020
Mihup,Kolkata,Conversational Ai Platform,"Ideaspring Capital, Accel",1500000.0,Series A,2020
RuralBasket,"Tirunelveli, Tamilnadu",E-Commerce,Nativelead Foundation,500000.0,Series A,2020
WayCool Foods,Chennai,Agritech,"FMO, IndusInd Bank",7800000.0,Debt,2020
Infra.Market,Thane,Real Estate,"Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020
Info Edge Venture,Noida,Venture Capitalist,Lightbox,50000000.0,Series A,2020
Clovia,Noida,E-Commerce,"Golden Birch Investments, She Capital",4000000.0,Pre-series C,2020
Codingal,Bangalore,EdTech,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020
CRED,Bangalore,Finance Company,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020
Vistaar Finance,Bangalore,Finance Company,FMO,30000000.0,Series A,2020
Let's Dive,Bangalore,Saas Platform,Surge,1700000.0,Series A,2020
Habitat,HeadQuarter Unknown,EdTech,"Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020
SAWO Labs,Mumbai,Saas Platform,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020
Signzy,Bangalore,Ai Platform,"Stellaris Venture Partners, Mastercard",3000000.0,Series A,2020
KopyKitab,Bangalore,EdTech,"Paula Mariwala, Siddharth Anand",113042969.54307117,Series A,2020
Kyt,Singapore,EdTech,Sequoia Capital India’s Surge,2500000.0,Series A,2020
Raskik,HeadQuarter Unknown,Fusion Beverages,"Venture Catalysts, 9Unicorns",1000000.0,Pre-series A,2020
GetWork,Gurugram,Hr Tech,India Accelerator,40000.0,Pre-seed,2020
Mobile Premier League (MPL),Bangalore,Gaming,"Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020
Pravasirojgar,HeadQuarter Unknown,Job Portal,GoodWorker.,33000000.0,Series A,2020
Omatra Hotels,Kolkata,Hospitality,Capify,113042969.54307117,Seed,2020
Awign,Bangalore,Job Portal,"Unitus Ventures, Work10M",113042969.54307117,Pre-series B,2020
NewsReach,Gujarat,Digital Media,"Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020
Cashfree,Bangalore,FinTech,"George Osborne, Smilegate Investment",35000000.0,Series B,2020
Credgenics,New Delhi,FinTech,"Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020
GeoIQ,Bangalore,Ai Startup,"Ankur Mittal, Mitesh Shah",300000.0,Seed,2020
Country Delight,Haryana,Dairy Startup,"IIFL Asset Management, Matrix Partners",25000000.0,Series C,2020
Quintype,Bangalore,Content Management,IIFL AMC,3500000.0,Series A,2020
CARS24,Haryana,Retail,"Global Car Group, Freemark holdings",200000000.0,Series E,2020
Astrogate Labs,Bangalore,Spacetech,"Venture Catalysts, Speciale Invest",113042969.54307117,Series A,2020
Power Gummies,New Delhi,Healthtech,Venture Catalysts,113042969.54307117,Bridge,2020
Cityflo,Mumbai,Logistics,"Anupam Mittal, India Quotient",7000000.0,Series A,2020
AlgoBulls,Mumbai,Trading Platform,Venture Catalysts,200000.0,Series A,2020
Credgenics,Gurugram,FinTech,"Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020
Inntot,Kerala,Tech Company,Unicorn India Ventures,113042969.54307117,Series A,2020
Ensuredit,Gurugram,FinTech,Venture Catalysts,300000.0,Pre-series A,2020
Shipsy,Gurugram,Ai Company,"DTDC, Udaan Angel Partners",6000000.0,Series A,2020
ERPNext,Mumbai,Tech Company,Rainmatter,1000000.0,Series A,2020
LightSpeedAI,Bangalore,Photonics Startup,"YourNest, growX ventures",113042969.54307117,Series A,2020
Grip Invest,Gurugram,FinTech,Gemba Capital,113042969.54307117,Pre-series A,2020
Unacademy,Bangalore,EdTech,"Dragoneer Investment Group, Tiger Global Management",113042969.54307117,Series A,2020
Yellow Classes,Gurugram,EdTech,India Quotient,1300000.0,Pre-series A,2020
Plum,Bangalore,Healthtech,"Surge, Tanglin Venture Partners",4100000.0,Series A,2020
STAGE,Indore,Entertainment,Venture Catalysts,1000000.0,Series A,2020
Nykaa,Mumbai,Cosmetics,"Alia Bhatt, Katrina Kaif",113042969.54307117,Series A,2020
Kaagaz Scanner,HeadQuarter Unknown,Scanning App,Pravega Ventures,575000.0,Series A,2020
NIRA,Bangalore,FinTech,"Techstars Bangalore Accelerator, Techstars",1000000.0,Series A,2020
Prolixr,Gurugram,Skincare Startup,"Alfa Ventures, Divij Bajaj",113042969.54307117,Seed,2020
Byju's,Bangalore,EdTech,"Owl Ventures, Tiger Global Management",200000000.0,Series A,2020
DaMENSCH,Bangalore,E-Commerce,"Whiteboard Capital, Matrix Partners India",6000000.0,Series A,2020
Country Delight,Haryana,Food And Beverages,"Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020
SignalX,Hyderabad,Ai Startup,"9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020
Lancify,Bangalore,EdTech,"Techstars, Techstars Bangalore Accelerator",300000.0,Series A,2020
Krimanshi,Jodhpur,Biotechnology Company,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020
Instoried,Bangalore,Ai Startup,"Venture Catalysts, SOSV",1000000.0,Pre-series A,2020
PlayerzPot,Mumbai,Gaming Startup,Venture Catalysts,3000000.0,Series A,2020
Instamojo,Bangalore,FinTech,"BASE, Gunosy Capital",113042969.54307117,Series A,2020
Turtlemint,Mumbai,Healthtech,"Nexus Venture Partners, Dream Incubator",30000000.0,Series A,2020
Arata,New Delhi,E-Commerce,DSG Consumer Partners,1000000.0,Pre-series A,2020
MPL,Bangalore,Gaming Startup,"Pegasus Tech Ventures, Base Partners",5000000.0,Series A,2020
True Balance,Gurugram,FinTech,"IBK Capital, SB Partners",28000000.0,Series A,2020
Thrive,Mumbai,Food & Beverage,"Whiteboard Capital, Ahimsa Capital",113042969.54307117,Pre-series A,2020
Kitchens Centre,New Delhi,Proptech,"Jonathan Swanson, Ankush Gera",113042969.54307117,Pre-series A,2020
Prescribe,Chennai,Healthtech,Titan Capital,100000.0,Series A,2020
Nepra,Ahmedabad,CleanTech,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020
inFeedo,Gurugram,Saas Startup,"Peyush Bansal, Ritesh Malik",3200000.0,Series A,2020
Shilpa Sciences,Bangalore,Healthtech,AngelList India,113042969.54307117,Pre-series A,2020
Arzooo,Bangalore,Tech Startup,"3Lines, Jabbar Internet Group",113042969.54307117,Series A,2020
MindTickle,Pune,Saas Platform,"Canaan Partners, NewView Capital",100000000.0,Debt,2020
Slice,Bangalore,FinTech,"Better Capital, Gunosy",5000000.0,Debt,2020
Rapawalk,Bangalore,E-Commerce,"Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed,2020
Oga Fit's,Bangalore,Fitness Startup,9Unicorns,113042969.54307117,Pre-series A,2020
LAVAL,Bangalore,Cosmetics,Jazal Group,113042969.54307117,Pre-series A,2020
Stride Ventures,New Delhi,Venture Capitalist,Small Industries Development Bank of India,80000000.0,Series A,2020
BlackSoil,Mumbai,FinTech,Venture Catalysts,10000000.0,Series A,2020
Biocon,Bangalore,Health,Goldman Sachs,15000000.0,Series A,2020
Clientjoy,Gujarat,Saas Startup,"LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020
Xpressbees,Pune,E-Commerce,"Alibaba Group, InnoVen Capital",100000000.0,Series A,2020
GalaxyCard,Gurugram,FinTech,India Accelerator,113042969.54307117,Seed,2020
Wellness Forever,Mumbai,Healthtech,"Poonawalla, Allana Group",100000000.0,Series A,2020
MoooFarm,Gurugram,Agritech,"Navus Ventures, Rockstart",500000.0,Pre-seed,2020
BitClass,Bangalore,Paas Startup,"AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed,2020
Gonuts,Mumbai,Entertainment,"Sweta Rau, Archana Priyadarshini",400000.0,Seed,2020
Uolo,Bangalore,EdTech,"Rajul Garg, Purvi Capital",2000000.0,Seed,2020
Kirana King,"Jaipur, Rajastan",Retail,Rajasthan Venture Capital Fund,900000.0,Pre-series A,2020
Jade Forest,New Delhi,Beverages,Venture Catalysts,250000.0,Seed,2020
iKure,Kolkata,Healthtech,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",113042969.54307117,Series A,2020
FrontRow,Bangalore,EdTech,"Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020
Reliance Retail,Mumbai,E-Commerce,"Abu Dhabi Investment Authority, GIC",10000000.0,Series A,2020
TUBBR,"Frisco, Texas, United States",Social Media,Global Ascent Partners,113042969.54307117,Series A,2020
Ather Energy,Bangalore,Automotive,HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Series D,2020
Routematic,Bangalore,Saas Startup,"VAMM Ventures, Naresh Malhotra",2000000.0,Series A,2020
LivFin,New Delhi,FinTech,"DEG, KFW DEG",4700000.0,Series A,2020
Universal Sportsbiz Pvt Ltd,Bangalore,Fashion Startup,"Accel, Alteria Capital",113042969.54307117,Series A,2020
Lattu Kids,Mumbai,EdTech,Mumbai Angels Network,113042969.54307117,Series A,2020
Eggoz,Indore,Food & Beverage,"AVANA Capital, Rebright Partners",1500000.0,Pre-series A,2020
Steradian Semiconductors,Bangalore,Deeptech,Endiya Partners.,113042969.54307117,Series A,2020
CHARGE+ZONE,Gujarat,Ev Startup,Mumbai Angels,3000000.0,Pre-series A,2020
